x,y,tau,pvalue
lh_G_cuneus,rh_G_cuneus,0.635588608742971000000000000000,0.000000000000000000000000000001
lh_S_front_sup,Right-Insula,0.633026420639482000000000000000,0.000000000000000000000000000002
lh_G_front_middle,lh_G_front_sup,0.632323598766551000000000000000,0.000000000000000000000000000003
lh_G_precentral,lh_S_precentral-sup-part,0.631158841689721000000000000000,0.000000000000000000000000000006
lh_S_front_inf,Right-Cerebellum-Exterior,0.628514420460729000000000000000,0.000000000000000000000000000006
lh_G_and_S_frontomargin,lh_G_and_S_transv_frontopol,0.627207402182589000000000000000,0.000000000000000000000000000008
lh_Lat_Fis-ant-Vertical,Right-Cerebellum-Exterior,0.625612189370578000000000000000,0.000000000000000000000000000010
lh_G_and_S_occipital_inf,lh_S_collat_transv_post,0.624585652134551000000000000000,0.000000000000000000000000000031
lh_G_cingul-Post-dorsal,rh_G_cingul-Post-dorsal,0.624523852711772000000000000000,0.000000000000000000000000000013
lh_G_precentral,Right-Caudate,0.623792468017159000000000000000,0.000000000000000000000000000015
lh_G_oc-temp_med-Parahip,Left-Thalamus-Proper,0.623435516052965000000000000000,0.000000000000000000000000000016
rh_G_cuneus,Left-Cerebellum-Cortex,0.623254126609831000000000000000,0.000000000000000000000000000017
lh_G_cuneus,lh_S_oc_sup_and_transversal,0.622335140529840000000000000000,0.000000000000000000000000000021
Left-Caudate,Left-Substancia-Nigra,0.622165789951024000000000000000,0.000000000000000000000000000021
lh_S_front_inf,Left-Cerebral-White-Matter,0.621984400507890000000000000000,0.000000000000000000000000000022
rh_G_rectus,rh_S_suborbital,0.621077453292218000000000000000,0.000000000000000000000000000026
lh_S_front_inf,lh_S_precentral-inf-part,0.618818682684254000000000000000,0.000000000000000000000000000044
lh_Lat_Fis-ant-Horizont,Right-Cerebellum-Cortex,0.617812443315798000000000000000,0.000000000000000000000000000051
lh_S_precentral-sup-part,Right-Putamen,0.616793583933397000000000000000,0.000000000000000000000000000107
lh_G_postcentral,lh_S_postcentral,0.616425312108428000000000000000,0.000000000000000000000000000077
