x,y,score,pvalue,x raw,y raw
lh_G_oc-temp_lat-fusifor,lh_G_temporal_middle,0.56121893705786300000,0.00000000000000000000,G_oc-temp_lat-fusifor,G_temporal_middle
lh_G_pariet_inf-Supramar,lh_S_precentral-inf-part,0.56104537139477900000,0.00000000000000000000,G_pariet_inf-Supramar,S_precentral-inf-part
rh_G_temp_sup-Lateral,rh_G_temporal_middle,0.56049337928532500000,0.00000000000000000000,G_temp_sup-Lateral,G_temporal_middle
lh_Lat_Fis-ant-Vertical,lh_S_circular_insula_sup,0.56031198984219100000,0.00000000000000000000,Lat_Fis-ant-Vertical,S_circular_insula_sup
lh_G_front_inf-Triangul,lh_Lat_Fis-ant-Horizont,0.55922365318338400000,0.00000000000000000000,G_front_inf-Triangul,Lat_Fis-ant-Horizont
rh_G_temporal_inf,rh_S_oc-temp_lat,0.55795392708144300000,0.00000000000000000000,G_temporal_inf,S_oc-temp_lat
lh_G_and_S_cingul-Mid-Ant,rh_G_and_S_cingul-Mid-Ant,0.55685065597751100000,0.00000000000000000000,G_and_S_cingul-Mid-Ant,G_and_S_cingul-Mid-Ant
lh_G_front_sup,rh_G_front_sup,0.55632142209323400000,0.00000000000000000000,G_front_sup,G_front_sup
lh_G_oc-temp_med-Lingual,lh_S_calcarine,0.55595864320696500000,0.00000000000000000000,G_oc-temp_med-Lingual,S_calcarine
lh_G_and_S_occipital_inf,lh_S_oc-temp_med_and_Lingual,0.55544111432669300000,0.00000000000000000000,G_and_S_occipital_inf,S_oc-temp_med_and_Lingual
lh_Lat_Fis-post,lh_S_circular_insula_sup,0.55541447487756200000,0.00000000000000000000,Lat_Fis-post,S_circular_insula_sup
rh_G_temporal_middle,rh_S_temporal_sup,0.55450752766188900000,0.00000000000000000000,G_temporal_middle,S_temporal_sup
lh_G_and_S_cingul-Mid-Post,lh_S_central,0.55449144475203300000,0.00000000000000000000,G_and_S_cingul-Mid-Post,S_central
lh_G_rectus,rh_S_suborbital,0.55396335933248600000,0.00000000000000000000,G_rectus,S_suborbital
rh_G_pariet_inf-Supramar,rh_S_postcentral,0.54979140214039500000,0.00000000000000000000,G_pariet_inf-Supramar,S_postcentral
lh_G_front_middle,lh_S_precentral-inf-part,0.54895205721990200000,0.00000000000000000000,G_front_middle,S_precentral-inf-part
lh_G_temp_sup-Lateral,lh_G_temporal_middle,0.54870306548158800000,0.00000000000000000000,G_temp_sup-Lateral,G_temporal_middle
rh_G_temp_sup-G_T_transv,rh_Lat_Fis-post,0.54761472882278200000,0.00000000000000000000,G_temp_sup-G_T_transv,Lat_Fis-post
lh_G_temp_sup-Plan_tempo,rh_G_occipital_middle,0.54748299319727800000,0.00000000000000000000,G_temp_sup-Plan_tempo,G_occipital_middle
lh_G_front_inf-Triangul,lh_S_front_inf,0.54634500272084100000,0.00000000000000000000,G_front_inf-Triangul,S_front_inf
lh_G_orbital,lh_S_orbital-H_Shaped,0.54561944494830300000,0.00000000000000000000,G_orbital,S_orbital-H_Shaped
rh_G_temporal_inf,rh_G_temporal_middle,0.54543805550516900000,0.00000000000000000000,G_temporal_inf,G_temporal_middle
lh_S_front_sup,lh_S_precentral-inf-part,0.54496755387756400000,0.00000000000000000000,S_front_sup,S_precentral-inf-part
lh_Lat_Fis-ant-Horizont,lh_S_orbital-H_Shaped,0.54453110828949700000,0.00000000000000000000,Lat_Fis-ant-Horizont,S_orbital-H_Shaped
lh_G_cuneus,lh_G_occipital_sup,0.54446426363366700000,0.00000000000000000000,G_cuneus,G_occipital_sup
lh_S_intrapariet_and_P_trans,lh_S_subparietal,0.54412583991522000000,0.00000000000000000000,S_intrapariet_and_P_trans,S_subparietal
lh_G_front_inf-Opercular,lh_Lat_Fis-ant-Vertical,0.54398693996009400000,0.00000000000000000000,G_front_inf-Opercular,Lat_Fis-ant-Vertical
lh_G_front_sup,rh_G_and_S_cingul-Mid-Ant,0.54360742486939600000,0.00000000000000000000,G_front_sup,G_and_S_cingul-Mid-Ant
lh_G_front_inf-Opercular,lh_G_temp_sup-Plan_tempo,0.54337671816792400000,0.00000000000000000000,G_front_inf-Opercular,G_temp_sup-Plan_tempo
lh_G_front_inf-Orbital,lh_G_front_inf-Triangul,0.54326138218755600000,0.00000000000000000000,G_front_inf-Orbital,G_front_inf-Triangul
lh_G_postcentral,lh_S_precentral-sup-part,0.54310579016492600000,0.00000000000000000000,G_postcentral,S_precentral-sup-part
lh_G_front_inf-Opercular,lh_S_front_inf,0.54289860330128700000,0.00000000000000000000,G_front_inf-Opercular,S_front_inf
lh_G_front_inf-Triangul,lh_S_orbital_lateral,0.54181026664248100000,0.00000000000000000000,G_front_inf-Triangul,S_orbital_lateral
lh_S_circular_insula_sup,lh_S_precentral-inf-part,0.54096730002397600000,0.00000000000000000000,S_circular_insula_sup,S_precentral-inf-part
lh_G_precentral,lh_S_front_sup,0.54034681699551200000,0.00000000000000000000,G_precentral,S_front_sup
lh_S_suborbital,rh_S_suborbital,0.53999637221113700000,0.00000000000000000000,S_suborbital,S_suborbital
lh_S_calcarine,rh_G_oc-temp_med-Lingual,0.53890803555233000000,0.00000000000000000000,S_calcarine,G_oc-temp_med-Lingual
lh_G_Ins_lg_and_S_cent_ins,lh_G_insular_short,0.53872664610919600000,0.00000000000000000000,G_Ins_lg_and_S_cent_ins,G_insular_short
lh_G_and_S_cingul-Mid-Ant,lh_S_precentral-inf-part,0.53860816721608900000,0.00000000000000000000,G_and_S_cingul-Mid-Ant,S_precentral-inf-part
lh_G_temp_sup-G_T_transv,lh_G_temp_sup-Plan_tempo,0.53811618576035600000,0.00000000000000000000,G_temp_sup-G_T_transv,G_temp_sup-Plan_tempo
lh_G_cuneus,lh_S_parieto_occipital,0.53800108833665800000,0.00000000000000000000,G_cuneus,S_parieto_occipital
rh_G_temp_sup-Plan_polar,rh_G_temporal_middle,0.53546163613277700000,0.00000000000000000000,G_temp_sup-Plan_polar,G_temporal_middle
rh_G_Ins_lg_and_S_cent_ins,rh_G_temp_sup-G_T_transv,0.53546163613277700000,0.00000000000000000000,G_Ins_lg_and_S_cent_ins,G_temp_sup-G_T_transv
rh_G_postcentral,rh_S_central,0.53437329947397000000,0.00000000000000000000,G_postcentral,S_central
rh_G_pariet_inf-Supramar,rh_S_central,0.53274079448576000000,0.00000000000000000000,G_pariet_inf-Supramar,S_central
lh_G_front_middle,lh_S_orbital-H_Shaped,0.53255940504262600000,0.00000000000000000000,G_front_middle,S_orbital-H_Shaped
lh_G_temp_sup-Plan_polar,lh_Pole_temporal,0.53255940504262600000,0.00000000000000000000,G_temp_sup-Plan_polar,Pole_temporal
rh_G_Ins_lg_and_S_cent_ins,rh_G_insular_short,0.53255940504262600000,0.00000000000000000000,G_Ins_lg_and_S_cent_ins,G_insular_short
lh_G_and_S_frontomargin,lh_G_and_S_cingul-Ant,0.53237801559949200000,0.00000000000000000000,G_and_S_frontomargin,G_and_S_cingul-Ant
lh_G_front_inf-Orbital,lh_G_orbital,0.53201523671322300000,0.00000000000000000000,G_front_inf-Orbital,G_orbital
lh_G_and_S_cingul-Mid-Ant,lh_G_front_sup,0.52965717395247500000,0.00000000000000000000,G_and_S_cingul-Mid-Ant,G_front_sup
lh_S_orbital-H_Shaped,rh_G_and_S_cingul-Ant,0.52965717395247500000,0.00000000000000000000,S_orbital-H_Shaped,G_and_S_cingul-Ant
rh_Lat_Fis-post,rh_S_temporal_transverse,0.52922769996825900000,0.00000000000000000000,Lat_Fis-post,S_temporal_transverse
rh_G_temporal_middle,rh_Pole_temporal,0.52893161617993800000,0.00000000000000000000,G_temporal_middle,Pole_temporal
rh_G_Ins_lg_and_S_cent_ins,rh_S_circular_insula_inf,0.52838744785053500000,0.00000000000000000000,G_Ins_lg_and_S_cent_ins,S_circular_insula_inf
lh_G_temp_sup-G_T_transv,lh_S_circular_insula_sup,0.52784327952113100000,0.00000000000000000000,G_temp_sup-G_T_transv,S_circular_insula_sup
lh_S_front_inf,lh_S_orbital-H_Shaped,0.52657355341919100000,0.00000000000000000000,S_front_inf,S_orbital-H_Shaped
rh_S_central,rh_S_postcentral,0.52657355341919100000,0.00000000000000000000,S_central,S_postcentral
lh_G_rectus,lh_S_orbital_med-olfact,0.52621077453292200000,0.00000000000000000000,G_rectus,S_orbital_med-olfact
lh_G_and_S_frontomargin,lh_S_orbital_lateral,0.52566660620351800000,0.00000000000000000000,G_and_S_frontomargin,S_orbital_lateral
lh_G_and_S_cingul-Ant,lh_S_orbital_lateral,0.52566660620351800000,0.00000000000000000000,G_and_S_cingul-Ant,S_orbital_lateral
lh_G_front_sup,lh_S_front_middle,0.52360437222223800000,0.00000000000000000000,G_front_sup,S_front_middle
lh_S_front_sup,rh_G_front_sup,0.52357411049020400000,0.00000000000000000000,S_front_sup,G_front_sup
rh_G_temp_sup-Plan_tempo,rh_Lat_Fis-post,0.52330854344277100000,0.00000000000000000000,G_temp_sup-Plan_tempo,Lat_Fis-post
lh_G_and_S_subcentral,lh_S_precentral-inf-part,0.52280051641088100000,0.00000000000000000000,G_and_S_subcentral,S_precentral-inf-part
rh_S_oc_middle_and_Lunatus,rh_S_oc_sup_and_transversal,0.52147852147852100000,0.00000000000000000000,S_oc_middle_and_Lunatus,S_oc_sup_and_transversal
rh_G_front_inf-Opercular,rh_G_Ins_lg_and_S_cent_ins,0.52131325956829300000,0.00000000000000000000,G_front_inf-Opercular,G_Ins_lg_and_S_cent_ins
lh_S_front_sup,rh_G_and_S_cingul-Mid-Ant,0.52119459485775700000,0.00000000000000000000,S_front_sup,G_and_S_cingul-Mid-Ant
lh_S_collat_transv_post,rh_G_and_S_occipital_inf,0.52078893042234000000,0.00000000000000000001,S_collat_transv_post,G_and_S_occipital_inf
rh_G_temp_sup-Lateral,rh_Pole_temporal,0.52076909123888900000,0.00000000000000000000,G_temp_sup-Lateral,Pole_temporal
lh_G_pariet_inf-Supramar,lh_S_circular_insula_sup,0.52070200951461400000,0.00000000000000000000,G_pariet_inf-Supramar,S_circular_insula_sup
lh_Lat_Fis-post,rh_G_occipital_middle,0.52052061184538800000,0.00000000000000000000,Lat_Fis-post,G_occipital_middle
lh_S_front_middle,lh_S_front_sup,0.51978590994860800000,0.00000000000000000001,S_front_middle,S_front_sup
lh_G_temporal_middle,lh_S_temporal_sup,0.51968075458008300000,0.00000000000000000001,G_temporal_middle,S_temporal_sup
lh_G_occipital_middle,lh_G_occipital_sup,0.51963374062992900000,0.00000000000000000001,G_occipital_middle,G_occipital_sup
lh_G_and_S_cingul-Mid-Ant,lh_G_precentral,0.51929793215039100000,0.00000000000000000001,G_and_S_cingul-Mid-Ant,G_precentral
lh_G_oc-temp_med-Lingual,rh_S_occipital_ant,0.51786686014873900000,0.00000000000000000001,G_oc-temp_med-Lingual,S_occipital_ant
lh_G_pariet_inf-Supramar,lh_G_precentral,0.51750725902320800000,0.00000000000000000001,G_pariet_inf-Supramar,G_precentral
lh_G_and_S_frontomargin,lh_S_front_middle,0.51634846545317900000,0.00000000000000000001,G_and_S_frontomargin,S_front_middle
lh_G_temp_sup-Plan_tempo,lh_Lat_Fis-ant-Vertical,0.51616706778395200000,0.00000000000000000001,G_temp_sup-Plan_tempo,Lat_Fis-ant-Vertical
lh_G_front_inf-Orbital,lh_S_orbital_lateral,0.51532740794485700000,0.00000000000000000001,G_front_inf-Orbital,S_orbital_lateral
lh_G_and_S_occipital_inf,rh_G_and_S_occipital_inf,0.51460370886182800000,0.00000000000000000002,G_and_S_occipital_inf,G_and_S_occipital_inf
lh_G_front_middle,lh_G_precentral,0.51439975078163600000,0.00000000000000000001,G_front_middle,G_precentral
lh_G_cuneus,rh_G_oc-temp_med-Lingual,0.51369490295664700000,0.00000000000000000001,G_cuneus,G_oc-temp_med-Lingual
lh_S_front_inf,lh_S_front_middle,0.51308330740710200000,0.00000000000000000002,S_front_inf,S_front_middle
lh_G_front_inf-Triangul,lh_S_circular_insula_sup,0.51260656629784100000,0.00000000000000000002,G_front_inf-Triangul,S_circular_insula_sup
lh_G_and_S_cingul-Mid-Post,rh_G_and_S_cingul-Mid-Ant,0.51248078762920500000,0.00000000000000000002,G_and_S_cingul-Mid-Post,G_and_S_cingul-Mid-Ant
lh_Pole_occipital,lh_S_oc_middle_and_Lunatus,0.51203052823082600000,0.00000000000000000004,Pole_occipital,S_oc_middle_and_Lunatus
rh_G_rectus,rh_S_orbital_med-olfact,0.51188100852530300000,0.00000000000000000002,G_rectus,S_orbital_med-olfact
lh_G_front_middle,rh_G_front_sup,0.51115545075276600000,0.00000000000000000002,G_front_middle,G_front_sup
lh_G_temp_sup-G_T_transv,lh_S_circular_insula_inf,0.51024850353709400000,0.00000000000000000003,G_temp_sup-G_T_transv,S_circular_insula_inf
lh_S_circular_insula_sup,rh_G_occipital_middle,0.51018094469947800000,0.00000000000000000003,S_circular_insula_sup,G_occipital_middle
lh_G_pariet_inf-Supramar,lh_S_central,0.51013836648943800000,0.00000000000000000003,G_pariet_inf-Supramar,S_central
rh_G_and_S_cingul-Ant,rh_S_suborbital,0.50916016687828700000,0.00000000000000000003,G_and_S_cingul-Ant,S_suborbital
lh_G_and_S_cingul-Mid-Ant,rh_G_front_sup,0.50861599854888400000,0.00000000000000000003,G_and_S_cingul-Mid-Ant,G_front_sup
rh_G_front_inf-Opercular,rh_S_circular_insula_sup,0.50843460910575000000,0.00000000000000000004,G_front_inf-Opercular,S_circular_insula_sup
lh_G_and_S_frontomargin,lh_G_front_middle,0.50825321966261500000,0.00000000000000000004,G_and_S_frontomargin,G_front_middle
lh_G_temp_sup-Plan_tempo,lh_S_temporal_transverse,0.50757369614512400000,0.00000000000000000004,G_temp_sup-Plan_tempo,S_temporal_transverse
lh_G_occipital_sup,rh_G_cuneus,0.50665803200762700000,0.00000000000000000006,G_occipital_sup,G_cuneus
rh_G_orbital,rh_S_orbital-H_Shaped,0.50662071467440600000,0.00000000000000000005,G_orbital,S_orbital-H_Shaped
lh_G_oc-temp_med-Parahip,lh_G_temporal_inf,0.50643932523127100000,0.00000000000000000005,G_oc-temp_med-Parahip,G_temporal_inf
lh_G_and_S_cingul-Mid-Post,lh_S_front_sup,0.50458632276814100000,0.00000000000000000008,G_and_S_cingul-Mid-Post,S_front_sup
lh_G_pariet_inf-Supramar,lh_S_front_inf,0.50437621928423100000,0.00000000000000000007,G_pariet_inf-Supramar,S_front_inf
