lharea,lhhighaverage,lhlowaverage,lhaverage,lhhighstd,lhlowstd,rharea,rhhighaverage,rhlowaverage,rhaverage,rhhighstd,rhlowstd,area
ctx_lh_G_cuneus,5.387843095,4.674479415,5.031161255,0.580281940,0.624880317,ctx_rh_G_cuneus,2.1184590113,2.294037594,2.206248303,0.3080891693,0.3811637252,G_cuneus
ctx_lh_G_front_inf-Opercular,9.148457024,14.265615054,11.707036039,1.055522482,1.254836124,ctx_rh_G_front_inf-Opercular,2.3987793496,1.993003151,2.195891250,0.2305705453,0.2438122565,G_front_inf-Opercular
ctx_lh_G_front_inf-Orbital,8.879432150,10.619965402,9.749698776,1.024709826,0.771561125,ctx_rh_G_front_inf-Orbital,2.7415366805,2.157435587,2.449486134,0.249128302,0.2157793461,G_front_inf-Orbital
ctx_lh_G_front_inf-Triangul,7.636161228,9.979944031,8.808052630,0.878248954,0.734644058,ctx_rh_G_front_inf-Triangul,1.9829842714,1.763206820,1.873095546,0.1416216547,0.1462445195,G_front_inf-Triangul
ctx_lh_G_front_middle,5.414687550,7.242718898,6.328703224,0.625225580,0.618132675,ctx_rh_G_front_middle,2.9044850320,2.414709959,2.659597495,0.2564844966,0.2125069025,G_front_middle
ctx_lh_G_front_sup,4.440751814,4.829551235,4.635151525,0.512008648,0.574931112,ctx_rh_G_front_sup,1.7696137402,2.134971398,1.952292569,0.1676425847,0.2865155552,G_front_sup
ctx_lh_G_Ins_lg_and_S_cent_ins,5.917204771,8.589890526,7.253547649,0.682176205,0.557051935,ctx_rh_G_Ins_lg_and_S_cent_ins,2.8026377801,2.349419649,2.576028714,0.2019573465,0.1929921728,G_Ins_lg_and_S_cent_ins
ctx_lh_G_insular_short,7.822803633,12.750249417,10.286526525,0.903228873,0.792942564,ctx_rh_G_insular_short,2.7636560527,1.992990514,2.378323283,0.1772866049,0.128244126,G_insular_short
ctx_lh_G_occipital_middle,3.359593874,1.162106551,2.260850213,0.387901026,0.197658295,ctx_rh_G_occipital_middle,1.4008728813,1.492677860,1.446775371,0.1808470834,0.1599483842,G_occipital_middle
ctx_lh_G_occipital_sup,7.409090895,2.821334889,5.115212892,0.854468166,0.748677328,ctx_rh_G_occipital_sup,0.4526500427,0.430791532,0.441720788,0.1028134006,0.08938128562,G_occipital_sup
ctx_lh_G_oc-temp_lat-fusifor,5.802937576,5.115866088,5.459401832,0.669812162,0.663913089,ctx_rh_G_oc-temp_lat-fusifor,2.3717593405,2.207018245,2.289388793,0.2307612974,0.235705062,G_oc-temp_lat-fusifor
ctx_lh_G_oc-temp_med-Lingual,5.975689949,6.731027455,6.353358702,0.689646628,0.552377458,ctx_rh_G_oc-temp_med-Lingual,3.1443922212,3.617294098,3.380843160,0.3202123056,0.3534427989,G_oc-temp_med-Lingual
ctx_lh_G_oc-temp_med-Parahip,4.266374704,5.408389653,4.837382178,0.491512583,0.489748210,ctx_rh_G_oc-temp_med-Parahip,2.0938826015,1.599969910,1.846926256,0.2645001616,0.1693038383,G_oc-temp_med-Parahip
ctx_lh_G_orbital,5.456076551,9.224312771,7.340194661,0.624090996,0.598288793,ctx_rh_G_orbital,1.8892790599,1.602085523,1.745682291,0.1392890421,0.1169829476,G_orbital
